101.179202,  99.897787, 0.059209, 1.140523, 0.000055, 0.023359
101.294853,  100.030660, 0.059483, 1.122160, 0.000056, 0.025103
101.051360,  99.775626, 0.059531, 1.134677, 0.000058, 0.024834
101.842383,  100.575205, 0.059553, 1.125781, 0.000077, 0.024891
101.426924,  100.162000, 0.059229, 1.123999, 0.000060, 0.025074
102.173396,  100.884285, 0.059158, 1.147726, 0.000057, 0.024987
101.360227,  100.063066, 0.061739, 1.154118, 0.000059, 0.023345
100.969194,  99.701808, 0.059533, 1.126099, 0.000057, 0.024829
101.766597,  100.466456, 0.061601, 1.156363, 0.000060, 0.025411
101.113584,  99.846380, 0.060188, 1.125222, 0.000062, 0.024736
101.178398,  99.882207, 0.061529, 1.153694, 0.000058, 0.023150
101.404053,  100.133699, 0.058515, 1.131619, 0.000077, 0.022829
101.444860,  100.181277, 0.059651, 1.122131, 0.000063, 0.024987
101.217225,  99.942457, 0.060434, 1.129252, 0.000061, 0.025249
101.342147,  100.072088, 0.056962, 1.130109, 0.000084, 0.022965
101.126519,  99.860458, 0.058337, 1.125617, 0.000058, 0.025082
101.314736,  100.051674, 0.058371, 1.123564, 0.000059, 0.022991
101.419617,  100.152119, 0.058798, 1.126240, 0.000058, 0.025014
101.182058,  99.912631, 0.058543, 1.128623, 0.000059, 0.024879
101.263929,  99.998632, 0.059314, 1.124410, 0.000057, 0.024839
101.213067,  99.943275, 0.059329, 1.128811, 0.000057, 0.024964
101.230403,  99.963964, 0.059039, 1.125581, 0.000060, 0.024824
101.264048,  99.993567, 0.058911, 1.129917, 0.000056, 0.024770
101.055788,  99.792888, 0.059279, 1.121454, 0.000058, 0.025265
101.104171,  99.842215, 0.059060, 1.120841, 0.000059, 0.025128
100.855896,  99.592534, 0.059454, 1.123173, 0.000055, 0.023045
101.409615,  100.143446, 0.060789, 1.123641, 0.000056, 0.024932
101.167677,  99.904553, 0.059357, 1.122965, 0.000058, 0.023133
101.054789,  99.789467, 0.060116, 1.123569, 0.000059, 0.024998
101.444569,  100.181288, 0.059024, 1.122767, 0.000057, 0.024793
100.938912,  99.670538, 0.061781, 1.124872, 0.000060, 0.024903
101.317460,  100.043245, 0.059345, 1.133013, 0.000061, 0.024685
101.514276,  100.244567, 0.059586, 1.128129, 0.000057, 0.024906
101.161285,  99.857729, 0.059514, 1.161769, 0.000061, 0.025061
100.874224,  99.610332, 0.058464, 1.123674, 0.000055, 0.024694
101.346544,  100.085503, 0.055482, 1.123918, 0.000057, 0.024529
101.018890,  99.751219, 0.060347, 1.125420, 0.000060, 0.024826
101.473216,  100.207253, 0.058928, 1.126344, 0.000059, 0.023218
100.994071,  99.732628, 0.058722, 1.120678, 0.000057, 0.024908
102.268955,  101.008411, 0.052702, 1.125476, 0.000061, 0.024374
101.657633,  100.385433, 0.058692, 1.131436, 0.000060, 0.024974
101.554896,  100.284426, 0.063396, 1.125696, 0.000056, 0.023323
101.378730,  100.115653, 0.058794, 1.121925, 0.000057, 0.025176
101.303909,  100.038408, 0.059384, 1.123993, 0.000057, 0.024875
101.888623,  100.613078, 0.058969, 1.133939, 0.000054, 0.025244
101.489126,  100.213177, 0.060946, 1.132939, 0.000088, 0.024961
101.151224,  99.886091, 0.058710, 1.123436, 0.000056, 0.025174
101.272987,  99.999288, 0.059376, 1.132546, 0.000058, 0.024813
101.150931,  99.886475, 0.059341, 1.122799, 0.000058, 0.024870
101.265490,  99.977472, 0.058011, 1.147086, 0.000058, 0.025242
49.134385,  48.123633, 0.053695, 0.487764, 0.283495, 0.027863
49.084272,  48.101724, 0.057492, 0.492495, 0.275209, 0.028036
49.255297,  48.267899, 0.054835, 0.499075, 0.283557, 0.028101
49.413754,  48.441059, 0.056050, 0.490453, 0.273817, 0.027595
49.245113,  48.288371, 0.049622, 0.484789, 0.274667, 0.027090
49.208491,  48.215991, 0.056141, 0.500094, 0.287843, 0.027035
49.364850,  48.367864, 0.054419, 0.489589, 0.279140, 0.027209
49.989172,  49.000196, 0.055312, 0.499881, 0.285933, 0.027705
49.288777,  48.303629, 0.053882, 0.498623, 0.283865, 0.027647
49.607822,  48.613405, 0.055461, 0.501277, 0.289047, 0.028070
49.450035,  48.447378, 0.051304, 0.509122, 0.290279, 0.027929
